clearing_house,contract_code,contract_name,contract_type,source_url
ICE,TD8,TD8 FFA Kuwait to Singapore (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD20,TD20 FFA West Africa to UK Continent (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD22,TD22 FFA USG to China (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD3C,Daily TD3C FFA Middle East Gulf to China (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD7,Daily TD7 FFA UK North Sea to Continent (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD8,Daily TD8 FFA Kuwait to Singapore (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD9,Daily TD9 FFA Caribbean to US Gulf (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD19,Daily TD19 FFA Cross Med (Ceyhan to Lavera) (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD20,Daily TD20 FFA West Africa to UK Continent (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD3C,TD3C FFA Middle East Gulf to China (Baltic) Average Price Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD7,TD7 FFA UK North Sea To Continent (Baltic) Average Price Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD20,TD20 West Africa to UK Continent (Baltic) Average Price Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,BLPG1,LPG (BLPG1) FFA Middle East Gulf to East 44000Mts (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,BLPG1,LPG (BLPG1) FFA Middle East Gulf to East 44000Mts (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,BLPG1,LPG (BLPG1) FFA Middle East Gulf to East Average Price Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,BLPG3,LPG (BLPG3) FFA Houston to Chiba (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
