index_code,component_code,component_type,mode,weight,scale_factor,source_url
BAI00,BAI51,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI53,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI63,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI81,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI82,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI84,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI20,BAI22,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI20,BAI23,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI20,BAI24,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI20,BAI25,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI30,BAI31,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI30,BAI32,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI30,BAI33,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI30,BAI34,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI40,BAI42,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI40,BAI43,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI40,BAI44,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI50,BAI51,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI50,BAI53,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI60,BAI63,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI80,BAI81,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI80,BAI82,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI80,BAI84,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
DOPEX,CAPESIZE,VESSEL_CLASS,SCOPE,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
DOPEX,PANAMAX,VESSEL_CLASS,SCOPE,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
DOPEX,SUPRAMAX,VESSEL_CLASS,SCOPE,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
DOPEX,HANDYSIZE,VESSEL_CLASS,SCOPE,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
TOPEX,AFRAMAX,VESSEL_CLASS,SCOPE,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
TOPEX,MR_PRODUCT,VESSEL_CLASS,SCOPE,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
GOPEX,LPG_CARRIER,VESSEL_CLASS,SCOPE,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
GOPEX,LNG_CARRIER,VESSEL_CLASS,SCOPE,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
